tract,Name,Poverty_Rate_in_2012-16
9009140200,"The Hill, New Haven, CT",0.5255
9009140400,"City Point, New Haven, CT",0.4765
9009140500,"The Hill, New Haven, CT",0.4391
9009140300,"The Hill, New Haven, CT",0.4066
9009142100,"Mill River, New Haven, CT",0.4035
9009142300,"Fair Haven, New Haven, CT",0.3797
9009361401,"Downtown, New Haven, CT",0.37
9009140600,"The Hill, New Haven, CT",0.3691
9009140700,"Dwight, New Haven, CT",0.3666
9009140800,"West River, New Haven, CT",0.3509
9009142500,"Fair Haven, New Haven, CT",0.3076
9009141500,"Newhallville, New Haven, CT",0.3057
9009141600,"Dixwell, New Haven, CT",0.3049
9009361500,"West Haven, CT",0.292
9009142400,"Fair Haven, New Haven, CT",0.2887
9009141300,"West New Haven, New Haven, CT",0.2857
9009142603,"Fair Haven Heights, New Haven, CT",0.2853
9009142700,"Annex, New Haven, CT",0.2614
9009140900,"Edgewood, New Haven, CT",0.2296
9009154500,"West Haven, CT",0.211
9009141200,"Amity, New Haven, CT",0.2078
9009142601,"Quinnipiac Meadows, New Haven, CT",0.2053
9009141800,"Prospect Hill, New Haven, CT",0.2051
9009154100,"West Haven, CT",0.1995
9009142000,"East Rock, New Haven, CT",0.1883
9009154200,"West Haven, CT",0.1804
9009180300,"The Centre, East Haven, CT",0.1779
9009141400,"Beaver Hills, New Haven, CT",0.1752
9009361402,"Downtown, New Haven, CT",0.1573
9009142200,"Mill River, New Haven, CT",0.1526
9009140100,"Downtown, New Haven, CT",0.152
9009154600,"West Haven, CT",0.1493
9009142604,"Fair Haven Heights, New Haven, CT",0.1377
9009180200,"The Centre, East Haven, CT",0.1249
9009141900,"East Rock, New Haven, CT",0.1221
9009155000,"West Haven, CT",0.1084
9009165400,"Hamden, CT",0.0862
9009141000,"West New Haven, New Haven, CT",0.0854
9009165100,"Hamden, CT",0.0805
9009167201,"North Haven, CT",0.0494
9009180500,"Foxon, East Haven, CT",0.0446
9009141100,"West New Haven, New Haven, CT",0.0435
9009142800,"East Shore, New Haven, CT",0.0351
9009165200,"Hamden, CT",0.0321
9009180400,"North End, East Haven, CT",0.0307
